Race;Date;Distance;Type;Type_Long;Q time;Q.dif;%;Time;Fina;Rank;;;;;;;
;;;; m ;;;;;;;;#ÉRTÉK!;;;;;
XXIV. BVSC Kupa;2026.05.09;400;gyors;400 m gyors;05:38.76;-00:00.75;100,22%;05:38.01;332;9;05:38,01;05:38;;;;;
XXIV. BVSC Kupa;2026.05.09;200;mell;200 m mell;00:00.00;+03:33.47;;03:33.47;267;10;03:33,47;03:33;;;;;
XXIV. BVSC Kupa;2026.05.09;100;gyors;100 m gyors;01:13.91;+00:00.11;99,85%;01:14.02;340;6;01:14,02;01:14;;;;;
Budapest Kupa III forduló;2026.04.11;200;vegyes;200 m vegyes;03:12.17;00:08.18;104,26%;03:03.99;318;5;03:03,99;03:03;;;;;
Budapest Kupa III forduló;2026.04.11;50;hát;50 m hát;00:40.77;-00:00.44;101,08%;00:40.33;295;6;00:40,33;00:40;;;;;
Budapest Kupa III forduló;2026.04.11;50;gyors;50 m gyors;00:34.41;00:00.29;100,84%;00:34.12;331;7;00:34,12;00:34;;;;;
Budapest Kupa III forduló;2026.04.11;200;hát;200 m hát;03:00.06;+00:01.43;99,21%;03:01.49;312;5;03:01,49;03:01;;;;;
VII. BVSC Tavaszi kupa;2026.03.21;200;gyors;200 m gyors;02:42.28;-00:040.11;102,53%;02:38.17;357;2;02:38,17;02:38;;;;;
VII. BVSC Tavaszi kupa;2026.03.21;200;hát;200 m hát;03:06.71;-00:06.65;103,56%;03:00.06;319;5;03:00,06;03:00;;;;;
VII. BVSC Tavaszi kupa;2026.03.21;50;gyors;50 m gyors;00:36.10;-00:01.69;104,68%;00:34.41;323;4;00:34,41;00:34;;50 m hát;00:40;Budapest Kupa III forduló;#HIÁNYZIK
VII. BVSC Tavaszi kupa;2026.03.21;50;hát;50 m hát;00:41.74;-00:00.97;102,32%;00:40.77;285;3;00:40,77;00:40;;100 m hát;01:24;VII. BVSC Tavaszi kupa;#HIÁNYZIK
VII. BVSC Tavaszi kupa;2026.03.21;100;hát;100 m hát;01:26.01;-00:01.15;101,34%;01:24.86;305;4;01:24,86;01:24;;200 m hát;03:00;VII. BVSC Tavaszi kupa;#HIÁNYZIK
VII. BVSC Tavaszi kupa;2026.03.21;100;gyors;100 m gyors;01:16.10;-00:02.19;102,88%;01:13.91;342;1;01:13,91;01:13;;400 m hát;00:00;#HIÁNYZIK;#HIÁNYZIK
I. Cápa Karnevál;2026.02.27;400;gyors;400 m gyors;05:50.08;-00:11.32;103,23%;05:38.76;330;7;05:38,76;05:38;;50 m gyors;00:34;Budapest Kupa III forduló;#HIÁNYZIK
I. Cápa Karnevál;2026.02.27;200;gyors;200 m gyors;02:47.89;-00:05.61;103,34%;02:42.28;330;6;02:42,28;02:42;;100 m gyors;01:13;VII. BVSC Tavaszi kupa;#HIÁNYZIK
I. Cápa Karnevál;2026.02.27;100;hát;100 m hát;01:28.71;-00:02.66;103,00%;01:26.05;292;8;01:26,05;01:26;;200 m gyors;02:38;VII. BVSC Tavaszi kupa;#HIÁNYZIK
I. Cápa Karnevál;2026.02.27;100;hát;100 m hát;01:26.05;-00:00.04;100,05%;01:26.01;293;8;01:26,01;01:26;;400 m gyors;05:38;XXIV. BVSC Kupa;#HIÁNYZIK
XX. BVSC Cikluszáró úszóverseny;2025.12.13;200;gyors;200 m gyors;02:50.36;-00:02.47;101,45%;02:47.89;298;5;02:47,89;02:47;;50 m mell;00:49;XXIII. BVSC Kupa;
XX. BVSC Cikluszáró úszóverseny;2025.12.13;50;hát;50 m hát;00:41.92;-00:00.14;100,33%;00:41.78;265;5;00:41,78;00:41;;100 m mell;01:48;VI. Buda Kupa;
XX. BVSC Cikluszáró úszóverseny;2025.12.13;50;gyors;50 m gyors;00:36.10;+00:00.29;99,20%;00:36.39;273;11;00:36,39;00:36;;200 m mell;03:33;XXIV. BVSC Kupa;2025.05.10
XX. BVSC Cikluszáró úszóverseny;2025.12.13;400;gyors;400 m gyors;00:00.00;+05:50.08;;05:50.08;303;5;05:50,08;05:50;;400 m mell;00:00;#HIÁNYZIK;2025.02.15
XX. BVSC Cikluszáró úszóverseny;2025.12.13;100;hát;100 m hát;01:28.88;-00:00.17;100,19%;01:28.71;267;7;01:28,71;01:28;;50 m pille;00:41;"	II.MATE-GEAC Kupa";#HIÁNYZIK
XX. BVSC Cikluszáró úszóverseny;2025.12.13;100;gyors;100 m gyors;01:17.34;-00:01.24;101,60%;01:16.10;313;8;01:16,10;01:16;;100 m pille;00:00;#HIÁNYZIK;#HIÁNYZIK
X. BVSC Őszi Kupa;2025.11.15;50;gyors;50 m gyors;00:37.17;-00:01.07;102,88%;00:36.10;279;7;00:36,10;00:36;;200 m pille;00:00;#HIÁNYZIK;2025.06.07
X. BVSC Őszi Kupa;2025.11.15;100;hát;100 m hát;01:28.88;+01:01.19;98,66%;01:30.07;255;5;01:30,07;01:30;;200 m vegyes;03:03;Budapest Kupa III forduló;#HIÁNYZIK
X. BVSC Őszi Kupa;2025.11.15;50;hát;50 m hát;00:43.00;-00:01.08;102,51%;00:41.92;263;4;00:41,92;00:41;;400 m vegyes;00:00;#HIÁNYZIK;#HIÁNYZIK
X. BVSC Őszi Kupa;2025.11.15;100;gyors;100 m gyors;01:18.22;-00:00.88;101,13%;01:17.34;298;8;01:17,34;01:17;;;;;#HIÁNYZIK
III. Rövidpályás Buda Kupa ;2025.10.11;400;gyors-r;400 m gyors-r;00:00.00;+05:48.70;NA;05:48.70;287;9;05:48,70;05:48;;;;;#HIÁNYZIK
III. Rövidpályás Buda Kupa ;2025.10.11;50;hát-r;50 m hát-r;00:43.00;-00:01.17;102,72%;00:41.83;219;10;00:41,83;00:41;;;;;
III. Rövidpályás Buda Kupa ;2025.10.11;50;pille-r;50 m pille-r;00:40.11;-00:01.14;102,84%;00:38.97;231;9;00:38,97;00:38;;;;;
III. Rövidpályás Buda Kupa ;2025.10.11;100;gyors-r;100 m gyors-r;01:18.22;+00:00.55;99,30%;01:18.77;259;12;01:18,77;01:18;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;200;hát;200 m hát;03:10.09;-00:03.38;101,78%;03:06.71;286;2;03:06,71;03:06;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;100;gyors;100 m gyors;01:19.75;-00:01.53;101,92%;01:18.22;288;5;01:18,22;01:18;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;200;vegyes;200 m vegyes;03:13.01;-00:00.84;100,44%;03:12.17;282;6;03:12,17;03:12;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;200;gyors;200 m gyors;02:51.34;-00:00.98;100,57%;02:50.36;285;5;02:50,36;02:50;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;50;hát;50 m hát;00:43.27;-00:00.27;100,62%;00:43.00;243;4;00:43,00;00:43;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;100;hát;100 m hát;01:30.56;-00:01.68;101,86%;01:28.88;265;3;01:28,88;01:28;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;4x50;vegyesváltó;4x50 m vegyesváltó;;;;;;1;;;;;;;
Regionális Delfin Bajnokság (KM I-III.);2025.07.05;4x50;gyorsváltó;4x50 m gyorsváltó;;;;;;1;;;;;;;
"	II.MATE-GEAC Kupa";2025.06.07;50;pille;50 m pille;00:40.11;+00:01.20;97,01%;00:41.31;206;7;00:41,31;00:41;;;;;
"	II.MATE-GEAC Kupa";2025.06.07;200;gyors;200 m gyors;02:56.37;-00:05.03;102,85%;02:51.34;281;4;02:51,34;02:51;;;;;
"	II.MATE-GEAC Kupa";2025.06.07;200;hát;200 m hát;03:12.74;-00:02.65;101,38%;03:10.09;271;1;03:10,09;03:10;;;;;
"	II.MATE-GEAC Kupa";2025.06.07;100;hát;100 m hát;01:31.66;-00:01.10;101,20%;01:30.56;251;5;01:30,56;01:30;;;;;
"	II.MATE-GEAC Kupa";2025.06.07;100;gyors;100 m gyors;01:19.75;+00:01.06;98,67%;01:20.81;262;4;01:20,81;01:20;;;;;
"	II.MATE-GEAC Kupa";2025.06.07;200;vegyes;200 m vegyes;03:13.01;+00:02.07;98,93%;03:15.08;270;3;03:15,08;03:15;;;;;
XXIII. BVSC Kupa;2025.05.10;50;mell;50 m mell;00:51.68;-00:01.72;103,34%;00:49.96;198;8;00:49,96;00:49;;;;;
XXIII. BVSC Kupa;2025.05.10;100;hát;100 m hát;01:32.57;-00:00.91;100,98%;01:31.66;242;8;01:31,66;01:31;;;;;
XXIII. BVSC Kupa;2025.05.10;200;vegyes;200 m vegyes;03:21.22;-00:08.21;104,08%;03:13.01;279;9;03:13,01;03:13;;;;;
XXIII. BVSC Kupa;2025.05.10;50;hát;50 m hát;00:44.02;00:00.75;101,70%;00:43.27;239;7;00:43,27;00:43;;;;;
XXIII. BVSC Kupa;2025.05.10;200;hát;200 m hát;03:15.81;-00:03.07;101,57%;03:12.74;260;7;03:12,74;03:12;;;;;
XXIII. BVSC Kupa;2025.05.10;100;mell;100 m mell;01:48.15;+00.03.98;96,32%;01:52.13;187;14;01:52,13;01:52;;;;;
Hajós Alfréd Kupa II. forduló;2025.04.26;100;gyors;100 m gyors;01:22.06;-00:02.31;102,82%;01:19.75;272;10;01:19,75;01:19;;;;;
Hajós Alfréd Kupa II. forduló;2025.04.26;50;pille;50 m pille;00:43.42;-00:03.31;107,62%;00:41.11;225;9;00:41,11;00:41;;;;;
Hajós Alfréd Kupa II. forduló;2025.04.26;200;mell;200 m mell;00:00.00;+03:51.51;;03:51.51;209;16;03:51,51;03:51;;;;;
Hajós Alfréd Kupa II. forduló;2025.04.26;200;gyors;200 m gyors;03:08.99;-00:12.52;106,63%;02:56.37;257;7;02:56,37;02:56;;;;;
Hajós Alfréd Kupa II. forduló;2025.04.26;100;mell;100 m mell;01:48.15;+00:01.56;98,56%;01:49.71;199;14;01:49,71;01:49;;;;;
Hajós Alfréd Kupa II. forduló;2025.04.26;50;gyors;50 m gyors;00:37.68;-00:00.51;101,35%;00:37.17;256;11;00:37,17;00:37;;;;;
XL. BÁCSVÍZ Kupa Úszóverseny;2025.04.12;50;hát;50 m hát;00:44.02;+00:00.26;99,41%;00:44.28;228;4;00:44,28;00:44;;;;;
XL. BÁCSVÍZ Kupa Úszóverseny;2025.04.12;100;gyors;100 m gyors;01:22.78;-00:00.72;100,87%;01:22.06;250;6;01:22,06;01:22;;;;;
XL. BÁCSVÍZ Kupa Úszóverseny;2025.04.12;200;hát;200 m hát;03:16.56;-00:00.75;100,38%;03:15.81;248;7;03:15,81;03:15;;;;;
VI. BVSC Tavaszi Kupa;2025.03.22;50;pille;50 m pille;00:43.42;;;10:10.10;;;10:10,10;10:10;;;;;
VI. BVSC Tavaszi Kupa;2025.03.22;200;gyors;200 m gyors;03:08.89;;;10:10.10;;;10:10,10;10:10;;;;;
VI. BVSC Tavaszi Kupa;2025.03.22;50;mell;50 m mell;00:51.68;;;10:10.10;;;10:10,10;10:10;;;;;
VI. BVSC Tavaszi Kupa;2025.03.22;200;mell;200 m mell;00:00.00;;;10:10.10;;;10:10,10;10:10;;;;;
VI. BVSC Tavaszi Kupa;2025.03.22;200;vegyes;200 m vegyes;03:21.22;;;10:10.10;;;10:10,10;10:10;;;;;
VI. BVSC Tavaszi Kupa;2025.03.22;100;gyors;100 m gyors;01:22.78;;;10:10.10;;;10:10,10;10:10;;;;;
VI. BVSC Tavaszi Kupa;2025.03.22;100;mell;100 m mell;01:48.15;;;10:10.10;;;10:10,10;10:10;;;;;
VI. Buda Kupa;2025.02.15;100;mell;100 m mell;01:53.59;-00:05.44;104,79%;01:48.15;208;10;01:48,15;01:48;;;;;
VI. Buda Kupa;2025.02.15;100;gyors;100 m gyors;01:23.83;-00:01.05;101,25%;01:22.78;243;4;01:22,78;01:22;;;;;
VI. Buda Kupa;2025.02.15;100;hát;100 m hát;01:32.57;+00:03.13;96,62%;01:35.70;212;6;01:35,70;01:35;;;;;
VI. Buda Kupa;2025.02.15;200;vegyes;200 m vegyes;00:00.00;+03.21.22;;03:21.22;246;4;03:21,22;03:21;;;;;
XIX. BVSC Cikluszáró úszóverseny;2024.12.14;50;hát;50 m hát;00:44.05;-00:00.03;100,07%;00:44.02;227;6;00:44,02;00:44;;;;;
XIX. BVSC Cikluszáró úszóverseny;2024.12.14;50;gyors;50 m gyors;00:38.99;-00:01.30;103,36%;00:37.68;246;11;00:37,68;00:37;;;;;
XIX. BVSC Cikluszáró úszóverseny;2024.12.14;200;hát;200 m hát;03:16.55;-00:03.74;98,10%;03:20.30;232;9;03:20,30;03:20;;;;;
XIX. BVSC Cikluszáró úszóverseny;2024.12.14;50;mell;50 m mell;00:52.47;+00:00.67;98,72%;00:53.14;165;15;00:53,14;00:53;;;;;
XIX. BVSC Cikluszáró úszóverseny;2024.12.14;100;hát;100 m hát;01:32.57;+00:02.70;97,08%;01:35.27;217;11;01:35,27;01:35;;;;;
XIX. BVSC Cikluszáró úszóverseny;2024.12.14;100;gyors;100 m gyors;01:27.75;-00:03.92;107,47%;01:23.83;234;9;01:23,83;01:23;;;;;
IX. BVSC Őszi Kupa;2024.11.16;50;gyors;50 m gyors;00:39.46;-00:00.47;101,19%;00:38.99;222;7;00:38,99;00:38;;;;;
IX. BVSC Őszi Kupa;2024.11.16;100;hát;100 m hát;01:32.57;-00:04.36;95,29%;01:36.93;206;8;01:36,93;01:36;;;;;
IX. BVSC Őszi Kupa;2024.11.16;200;gyors;200 m gyors;03:38.28;-00:19.39;109,31%;03:08.889;213;8;03:08,889;03:16;;;;;
IX. BVSC Őszi Kupa;2024.11.16;50;pille;50 m pille;00:44.98;-00:01.56;103,47%;00:43.42;178;8;00:43,42;00:43;;;;;
IX. BVSC Őszi Kupa;2024.11.16;100;mell;100 m mell;02:03.27;-00:09.68;107,85%;01:53.59;179;11;01:53,59;01:53;;;;;
IX. BVSC Őszi Kupa;2024.11.16;100;gyors;100 m gyors;01:29.39;-00:01.64;101,84%;01:27.75;204;11;01:27,75;01:27;;;;;
IX. BVSC Őszi Kupa;2024.11.16;200;hát;200 m hát;03:16.56;+00:05.50;97,20%;03:22.06;226;8;03:22,06;03:22;;;;;
II. Rövidpályás Buda Kupa;2024.10.12;100;gyors-r;100 m gyors-r;01:29.39;-00:01.63;101,82%;01:27.76;187;14;01:27,76;01:27;;;;;
II. Rövidpályás Buda Kupa;2024.10.12;100;hát-r;100 m hát-r;01:32.57;+00:03.84;95,85%;01:36.41;184;7;01:36,41;01:36;;;;;
II. Rövidpályás Buda Kupa;2024.10.12;200;gyors-r;200 m gyors-r;03:28.28;-00:17.01;108,17%;03:11.27;191;6;03:11,27;03:11;;;;;
Regionális Delfin Bajnokság (KM I-III.);2024.07.06;200;hát;200 m hát;03:24.88;;;03:16.56;251;2;03:16,56;03:16;;;;;
Regionális Delfin Bajnokság (KM I-III.);2024.07.06;100;gyors;100 m gyors;01:30.07;;;01:29.39;197;4;01:29,39;01:29;;;;;
Regionális Delfin Bajnokság (KM I-III.);2024.07.06;50;hát;50 m hát;00:44.43;;;00:44.05;231;2;00:44,05;00:44;;;;;
Regionális Delfin Bajnokság (KM I-III.);2024.07.06;100;hát;100 m hát;01:38.25;;;01:32.57;247;3;01:32,57;01:32;;;;;
Regionális Delfin Bajnokság (KM I-III.);2024.07.06;50;gyors;50 m gyors;00:41.42;;;00:39.46;217;3;00:39,46;00:39;;;;;
I.MATE-GEAC Kupa;2024.06.08;100;hát;100 m hát;01:38.25;+00:00.67;99,32%;01:38.92;194;7;01:38,92;01:38;;;;;
I.MATE-GEAC Kupa;2024.06.08;100;gyors;100 m gyors;01:34.50;-00:04.43;104,69%;01:30.07;189;6;01:30,07;01:30;;;;;
I.MATE-GEAC Kupa;2024.06.08;50;pille;50 m pille;00:50.51;-00:05.53;110,95%;00:44.98;160;7;00:44,98;00:44;;;;;
I.MATE-GEAC Kupa;2024.06.08;50;hát;50 m hát;00:45.55;-00:01.12;102,46%;00:44.43;220;2;00:44,43;00:44;;;;;
I.MATE-GEAC Kupa;2024.06.08;200;hát;200 m hát;03:25.10;-00:00.22;100,10%;03:24.88;217;6;03:24,88;03:24;;;;;
XXII. BVSC Kupa;2024.05.11;50;mell;50 m mell;00:57.93;-00:02.58;104,45%;00:55.35;146;18;00:55,35;00:55;;;;;
XXII. BVSC Kupa;2024.05.11;100;hát;100 m hát;01:38.88;-00:00.63;100,64%;01:38.25;198;11;01:38,25;01:38;;;;;
XXII. BVSC Kupa;2024.05.11;100;gyors;100 m gyors;01:37.23;-00:02.73;102,81%;01:34.50;163;14;01:34,50;01:34;;;;;
XXII. BVSC Kupa;2024.05.11;50;hát;50 m hát;00:46.17;-00:00.62;101,34%;00:45.55;205;9;00:45,55;00:45;;;;;
XXII. BVSC Kupa;2024.05.11;50;gyors;50 m gyors;00:41.95;-00:00.53;101,26%;00:41.42;185;13;00:41,42;00:41;;;;;
XXII. BVSC Kupa;2024.05.11;200;hát;200 m hát;03:25.10;+00:01.79;99,13%;03:26.89;210;2;03:26,89;03:26;;;;;
II. Tavaszi Buda kupa;2024.04.13;200;gyors;200 m gyors;00:00.00;;;03:28.28;159;6;03:28,28;03:28;;;;;
II. Tavaszi Buda kupa;2024.04.13;50;mell;50 m mell;00:58.26;;;00:57.93;129;10;00:57,93;00:57;;;;;
II. Tavaszi Buda kupa;2024.04.13;50;gyors;50 m gyors;00:45.47;;;00:41.95;179;4;00:41,95;00:41;;;;;
II. Tavaszi Buda kupa;2024.04.13;50;hát;50 m hát;00:46.17;;;00:46.77;192;5;00:46,77;00:46;;;;;
V. BVSC Tavaszi Kupa;2024.03.23;100;gyors;100 m gyors;01:40.24;-00:01.71;101,71%;01:38.53;144;12;01:38,53;01:38;;;;;
V. BVSC Tavaszi Kupa;2024.03.23;100;hát;100 m hát;01:42.36;-00:03.48;103,40%;01:38.88;194;4;01:38,88;01:38;;;;;
V. BVSC Tavaszi Kupa;2024.03.23;50;pille;50 m pille;00:00.00;+00:50.51;;00:50.51;113;7;00:50,51;00:50;;;;;
V. BVSC Tavaszi Kupa;2024.03.23;200;hát;200 m hát;00:00.00;+03:25.10;;03:25.10;216;6;03:25,10;03:25;;;;;
V. BVSC Tavaszi Kupa;2024.03.23;50;hát;50 m hát;00:47.43;-00:01.26;102,66%;00:46.17;196;6;00:46,17;00:46;;;;;
III. Eger Város Kupája;2024.03.02;50;gyors;50 m gyors;00:47.91;-00:02.44;105,09%;00:45.47;139;7;00:45,47;00:45;;;;;
III. Eger Város Kupája;2024.03.02;50;hát;50 m hát;00:49.27;-00:01.84;103,74%;00:47.43;181;4;00:47,43;00:47;;;;;
III. Eger Város Kupája;2024.03.02;100;hát;100 m hát;01.42.36;+00:00.19;99,81%;01:42.55;174;8;01:42,55;01:42;;;;;
III. Eger Város Kupája;2024.03.02;50;mell;50 m mell;00:58.26;+00:01.08;98,15%;00:59.34;118;7;00:59,34;00:59;;;;;
BUDAPEST KUPA 2024 I.;2024.02.03;100;mell;100 m mell;02:08.74;-00:05.47;102,25%;02:03.27;140;12;02:03,27;02:03;;;;;
BUDAPEST KUPA 2024 I.;2024.02.03;100;hát;100 m hát;01:48.47;-00:06.11;105,63%;01:42.36;175;8;01:42,36;01:42;;;;;
BUDAPEST KUPA 2024 I.;2024.02.03;100;gyors;100 m gyors;01:44.17;00:03.93;103,77%;01:40.24;137;12;01:40,24;01:40;;;;;
XVIII. BVSC Cikluszáró úszóverseny;2023.12.16;50;hát;50 m hát;00:49.65;-00:00.38;100,77%;00:49.27;164;11;00:49,27;00:49;;;;;
XVIII. BVSC Cikluszáró úszóverseny;2023.12.16;100;mell;100 m mell;02:08.74;+00:06.41;95,02%;02:15.18;106;23;02:15,18;02:15;;;;;
XVIII. BVSC Cikluszáró úszóverseny;2023.12.16;50;gyors;50 m gyors;00:47.91;+00:02.22;95,37%;00:50.13;105;22;00:50,13;00:50;;;;;
XVIII. BVSC Cikluszáró úszóverseny;2023.12.16;50;mell;50 m mell;01:01.83;-01:00.71;101,15%;01:01.12;110;19;01:01,12;01:01;;;;;
XVIII. BVSC Cikluszáró úszóverseny;2023.12.16;100;hát;100 m hát;01:48.47;+00:00.94;99,13%;01:49.41;144;20;01:49,41;01:49;;;;;
XVIII. BVSC Cikluszáró úszóverseny;2023.12.16;100;gyors;100 m gyors;01:46.56;-00:02.39;102,24%;01:44.17;122;25;01:44,17;01:44;;;;;
VIII. BVSC Őszi Kupa;2023.11.11;50;mell;50 m mell;00:00.00;+01:01.83;;01:01.83;106;17;01:01,83;01:01;;;;;
VIII. BVSC Őszi Kupa;2023.11.11;50;gyors;50 m gyors;00:00.00;+00.47.91;;00:47.91;120;16;00:47,91;00:47;;;;;
VIII. BVSC Őszi Kupa;2023.11.11;100;hát;100 m hát;00:00.00;+01:48.47;;01:48.47;148;8;01:48,47;01:48;;;;;
VIII. BVSC Őszi Kupa;2023.11.11;100;mell;100 m mell;00:00.00;+02:08.74;;02:08.74;123;14;02:08,74;02:08;;;;;
VIII. BVSC Őszi Kupa;2023.11.11;50;hát;50 m hát;00:00.00;+00:49.65;;00:49.65;160;5;00:49,65;00:49;;;;;
VIII. BVSC Őszi Kupa;2023.11.11;100;gyors;100 m gyors;00:00.00;+01:46.56;;01:46.56;114;17;01:46,56;01:46;;;;;
I. Rövidpályás Buda Kupa;2023.10.10;50;mell-r;50 m mell-r;00:00.00;+01:00.53;;01:00.53;;13;01:00,53;01:00;;;;;
I. Rövidpályás Buda Kupa;2023.10.10;50;hát-r;50 m hát-r;00:00.00;+00:51.98;;00:51.98;;1;00:51,98;00:51;;;;;
I. Rövidpályás Buda Kupa;2023.10.10;50;gyors-r;50 m gyors-r;00:00.00;+00:48.02;;00:48.02;;14;00:48,02;00:48;;;;;
